cart_id	mail	product_id
1092397418290.0	a181248367	366498568522.0
138742792720.0	516e2e745c	73810952621.0
108082559849.0	1601fecc7f	79402822525.0
251797282335.0	29d56f63ec	530980115159.0
651822622544.0	67be9eb2e5	618639148003.0
817909238810.0	3a24c42894	441595633456.0
427513930052.0	42fbf1e0a9	759755785197.0
409652918460.0	e0e09bcb7b	487633962255.0
126536040328.0	a2c6f80ea6	325262414951.0
195809963606.0	7d67e33166	58693978128.0
426363751898.0	4f67c53e66	1037516316531.0
51702292002.0	37c64b233a	206747200377.0
945246123121.0	8739a9cebb	639796038157.0
701667913538.0	0930b41ae8	934384066138.0
80456160263.0	7cb18052e9	151034509620.0
364270725574.0	f274d23b12	996394146136.0
728631732483.0	835473e204	1039658263075.0
921465884871.0	4f74eb53bc	350866705122.0
397354390298.0	5dcc509307	713368409538.0
656014916350.0	72089d187d	772707865119.0
397354390298.0	5dcc509307	1071289884379.0
192002856417.0	3eb08bd820	137224954591.0
605266186223.0	fee6e269a6	555256680597.0
20271224959.0	d58aa587ef	509916060805.0
431239105385.0	47f5a35132	639863617669.0
946616557067.0	e299c551e1	179379932063.0
64080789545.0	6cb661aa77	205755008955.0
8821799679.0	ee0f8cf447	405941817856.0
686462586864.0	2273f8bf99	748419441776.0
246473905250.0	7e59d97562	711903726937.0
568151975022.0	18afb27c5f	398443298703.0
587134524642.0	c18c02a0a4	595364428645.0
650997903053.0	3dafdb4ffb	991359892641.0
459009305149.0	ebb8f1741b	579915762502.0
315542568949.0	cb168051ad	322901723602.0
397354390298.0	5dcc509307	913549975468.0
469768363966.0	7cb18052e9	919201567772.0
924292558672.0	9bf091dd2b	735001128987.0
1086777259928.0	df5e780678	840697355669.0
751002737155.0	05d5dbd821	516920045207.0
172197375241.0	d3a18c2f1e	435268032663.0
352969866129.0	96a6c6abec	782349199624.0
866184806550.0	6f802e3aab	347974615475.0
895786840842.0	0bcfb54385	822041881680.0
719197737635.0	2cb2826f8e	846026636269.0
941972090116.0	669015e906	1078430473852.0
816942724430.0	5168e5befe	174734802270.0
207172170237.0	b05ff2ce81	1059648108584.0
237392112371.0	5825a0d982	621274773919.0
123804081542.0	f059e2d0ae	870114080128.0
747639872751.0	73b4d3f1dd	969531165332.0
803303965688.0	516e2e745c	261391936370.0
437734471359.0	9e30921d41	821193633335.0
810998417260.0	32e4aa642a	18886245032.0
829789003403.0	51f9ee0d7f	751638218125.0
211081321845.0	187fca20b8	653851318717.0
943753924310.0	56c481d9aa	143602317578.0
123804081542.0	f059e2d0ae	252753707789.0
557106955043.0	5a03f96fcf	858599210427.0
2295081360.0	1bb148ebf8	769476220106.0
720645703543.0	0661423364	606785863537.0
606436959907.0	2175525ea9	104998898097.0
892655649136.0	f6d5ab86fd	743071813194.0
167577940995.0	8875b83643	717932437506.0
198085611011.0	9e22e4258f	666842766383.0
728971911035.0	0bcfb54385	872278660218.0
617263306942.0	1e49718118	924721243387.0
771860324874.0	b6a61b7f08	243024447925.0
675673686322.0	146e130e6b	705367262355.0
355500651945.0	5dcc509307	46569409973.0
278369004660.0	702bd540fb	970368805725.0
775708663674.0	407bae9a57	669480070514.0
486171952250.0	c59051925e	930139073311.0
302032681686.0	4a4488e75f	257269967304.0
805329065128.0	5dcc509307	616866242200.0
125318404609.0	bc4bb3c758	585400053728.0
651080582692.0	2ce794a618	1094826371716.0
8312372803.0	40fe9372f4	650657215361.0
112431231363.0	bc9baad9e9	529731023254.0
878403058652.0	f2d0c15e8e	1068712915741.0
522042383445.0	9801fa8d0d	113382060677.0
228782194773.0	fdfd5a0c3b	299301050320.0
720700660555.0	098cd4d0d5	107679483619.0
981575173793.0	fb5d6b8e85	11192080100.0
173506436754.0	6bb7329ed5	336174722632.0
613609226835.0	f1ff39d6fa	792941437059.0
637652776040.0	073fe9b16e	872735506546.0
375847480492.0	e41b93cd5b	589595436735.0
332699721246.0	9d8ade2b1d	1022240537128.0
942618460326.0	cc0b47c163	570361173187.0
77023748346.0	2372e60d9c	290564666111.0
828304939231.0	8dfac2fa97	396977665565.0
363321591094.0	4051e4f124	38407558336.0
530286737726.0	cff9ebca89	864930530551.0
492311905759.0	ca0ad31f56	866307995300.0
1027811313318.0	c1d25a9bda	263399576508.0
946616557067.0	e299c551e1	356246544151.0
554004150968.0	a4b3f6c36e	966969787205.0
138847286271.0	1986321de0	1088721151244.0
949574889046.0	3566437853	550182096464.0
1008166003065.0	37d6551ff4	132895008986.0
805329065128.0	5dcc509307	620507668134.0
439435078172.0	137b3322e3	764250203333.0
530286737726.0	cff9ebca89	1075618289777.0
919004411933.0	489d1391a0	646990193534.0
881208104682.0	e591ac0fd5	915318182935.0
71491614823.0	3eb08bd820	683147449966.0
432837962423.0	e0cb2921c8	335280746335.0
703413105722.0	c271bf22e3	14304984716.0
301118817552.0	3eb08bd820	799482985031.0
396071038128.0	6a270f25b2	157919261231.0
633022139672.0	d0492fdfba	484355375935.0
894635869035.0	8edf4e9fb9	798316861775.0
712953747767.0	9f58b34b8f	925958776610.0
617494750384.0	a079e60491	186521115635.0
473578477636.0	e01a1f74ea	1007139669815.0
421172278174.0	186111fc51	857488989873.0
730946459945.0	3f17f24f4f	752245873166.0
766850303670.0	dd935fc3ef	622806448497.0
52676044887.0	73e31303fc	421854627012.0
371074257114.0	9801fa8d0d	666202569432.0
518675312543.0	e35f35d7f6	25100109669.0
543948016410.0	2ce794a618	86478903071.0
774337620814.0	cdc4c9f6a8	171598220143.0
526688382127.0	db208345a3	891991302147.0
47892383127.0	0b1f2858fe	246797261387.0
208825388828.0	b80eea1ab7	90513800984.0
859560261484.0	962821bccc	615506244022.0
102015635794.0	62ec6a3d2b	424864165088.0
969828396603.0	029541f1d0	25550708161.0
189243107932.0	4051e4f124	531426312240.0
737709755510.0	8ad7239026	986494243847.0
957067721156.0	4516d616cc	660995294046.0
297251815833.0	7cb18052e9	552165661543.0
833663306766.0	60f75b07ed	105568829938.0
251540616782.0	6a270f25b2	429921794405.0
411115533509.0	8cbfa00164	1046949739973.0
271931422654.0	951fb40f69	725504239395.0
194516976348.0	f174993141	148921816157.0
822775798853.0	cbdf69e207	908721338767.0
755287189248.0	3115846e81	1015338433340.0
914019134785.0	145aa6308b	328362391584.0
929388986576.0	5e2b0eaa63	24825648385.0
394671263133.0	396f693cdb	902910655135.0
